Date,Open,High,Low,Close,Volume,Market_Cap,Ticker,IndClass_Sector,IndClass_Industry,Typical_Price,Return,VWAP_5
2024-07-12,555.099975585938,562.489990234375,552.320007324219,559.049987792969,2014000.0,191845416960.0,ADBE,Technology,Software - Application,557.953328450521,0.0025464607315299,565.057207440584
2024-07-15,560.22998046875,568.22998046875,560.22998046875,565.710021972656,1887800.0,191845416960.0,ADBE,Technology,Software - Application,564.723327636719,0.0119131282087666,563.201162661545
2024-07-16,564.599975585938,570.099975585938,562.080017089844,566.539978027344,1539900.0,191845416960.0,ADBE,Technology,Software - Application,566.239990234375,0.001467105093514,562.714403115085
2024-07-17,563.929992675781,565.0,556.460021972656,563.090026855469,2316300.0,191845416960.0,ADBE,Technology,Software - Application,561.516682942708,-0.0060895105476713,562.349431174779
2024-07-18,564.179992675781,564.260009765625,556.070007324219,556.849975585938,2184700.0,191845416960.0,ADBE,Technology,Software - Application,559.059997558594,-0.0110818003728074,561.595455131938
2024-07-19,557.049987792969,561.090026855469,548.960021972656,551.0,2601900.0,191845416960.0,ADBE,Technology,Software - Application,553.683349609375,-0.0105054787508654,560.337097182459
2024-07-22,558.650024414062,560.190002441406,552.710021972656,554.820007324219,2391700.0,191845416960.0,ADBE,Technology,Software - Application,555.906677246094,0.0069328626573848,558.626411495445
2024-07-23,556.489990234375,557.25,544.440002441406,546.010009765625,2363900.0,191845416960.0,ADBE,Technology,Software - Application,549.233337402344,-0.0158790192175706,555.765304462619
2024-07-24,543.799987792969,544.710021972656,530.349975585938,531.039978027344,2630100.0,191845416960.0,ADBE,Technology,Software - Application,535.366658528646,-0.0274171379105429,550.263271433169
2024-07-25,536.799987792969,542.280029296875,527.590026855469,532.150024414062,2136500.0,191845416960.0,ADBE,Technology,Software - Application,534.006693522135,0.0020903254606961,545.81342474161
2024-07-26,535.349975585938,545.5,533.330017089844,542.440002441406,2090000.0,191845416960.0,ADBE,Technology,Software - Application,540.42333984375,0.0193366110218147,543.079917314079
