,Strategy,S&P500,Excess_Return,Rolling_3M_Sharpe,Rolling_3M_Beta
2024-07-15,1.0,1.0,1.0,,
2024-07-16,1.019661639558995,1.0063893754987432,1.0132722640602518,,
2024-07-17,1.0059709023658308,0.9923728439532014,1.013779708658565,,
2024-07-18,0.9967579244679438,0.9846160569488306,1.0124193271179893,,
2024-07-19,0.9901057269292977,0.977585636855217,1.012891550793502,,
2024-07-22,0.9831601921401442,0.9881357758985093,0.9948550130339222,,
2024-07-23,0.9795649216818259,0.9865961589870368,0.992767062528873,,
2024-07-24,0.9648050947764257,0.9637573520045845,1.0007899670405234,,
2024-07-25,0.9661785346423392,0.9588011139417963,1.007361315595383,,
2024-07-26,0.9815440090268381,0.9694346676882221,1.0122096249730443,,
2024-07-29,0.9812036940414888,0.970223118723141,1.0110354374503747,,
2024-07-30,0.9721987677599521,0.9654106452942357,1.0067716420353272,,
2024-07-31,1.0152526066703307,0.9806577604851716,1.0354561953676409,,
2024-08-01,0.992837262343704,0.967229120506412,1.0267738068347745,,
2024-08-02,0.9730218388622247,0.9494496493851112,1.0251550781591627,,
2024-08-05,0.9586320886862871,0.9209957842625242,1.040717009817183,,
2024-08-06,0.9806636447995738,0.9305318537079525,1.053859391706247,,
2024-08-07,1.004485600081105,0.9233345174984017,1.087610625028194,,
2024-08-08,1.035353292253137,0.9446105560873267,1.0959713476608126,,
2024-08-09,1.0291828946263681,0.9490234713540295,1.084319660483741,,
2024-08-12,1.015718244476651,0.94906431160889,1.0700870014560941,,
2024-08-13,1.0324953345974133,0.9650537482899767,1.0697337494939434,,
2024-08-14,1.0294802306562572,0.9687438517424176,1.0625195301855812,,
2024-08-15,1.0486055314955214,0.9843728363227502,1.0651167320085497,,
2024-08-16,1.0607849802572222,0.986331521072314,1.075368609432553,,
2024-08-19,1.0724112150443226,0.9959209169651717,1.076699641409107,,
2024-08-20,1.0667673484905038,0.9939444567331315,1.0731699758874518,,
2024-08-21,1.082771682338374,0.9981584600154393,1.08472047221324,,
2024-08-22,1.0801406016703439,0.9892421045859096,1.091774253136287,,
2024-08-23,1.0926269628639405,1.000601938533422,1.0918578500164005,,
2024-08-26,1.0934214686795103,0.9974463134906633,1.0960952178167804,,
2024-08-27,1.0940556390636205,0.9990374359464823,1.0949824521390483,,
2024-08-28,1.0814175619782873,0.9930672149955009,1.0888772546905638,,
2024-08-29,1.1047737613433135,0.9930281089340527,1.1124374456965527,,
2024-08-30,1.1179318816694839,1.0030507930509829,1.1144589536052307,,
2024-09-03,1.1079843718157394,0.9818351911024779,1.1281143505784088,,
2024-09-04,1.108919421043722,0.9802617574194646,1.1308742402919874,,
2024-09-05,1.1060478662645945,0.9773033101676887,1.1313588317294623,,
2024-09-06,1.0947172347320504,0.9604348108458884,1.1392964444395852,,
2024-09-09,1.0977002054162521,0.9715567134572283,1.1292077551232216,,
2024-09-10,1.0973302198255113,0.9759021686001912,1.1237765731024816,,
2024-09-11,1.103919111943685,0.9863101904933425,1.1185391554482151,,
2024-09-12,1.146219715555572,0.9937028835907931,1.1530161890745916,,
2024-09-13,1.189554101850164,0.9990765420079306,1.1903723464447094,,
2024-09-16,1.196693100504046,1.0003320113287917,1.1960203983949,,
2024-09-17,1.2073703165421583,1.0005966492435143,1.2063752051114105,,
2024-09-18,1.2110795628869429,0.997698465212817,1.213575606840357,,
2024-09-19,1.2270062102835866,1.0146362455614402,1.2089323842912099,,
2024-09-20,1.2195348387843956,1.0126668088127198,1.2039176371202376,,
2024-09-23,1.217161221034692,1.0155116663959876,1.1981922822224864,,
2024-09-24,1.2142429524571896,1.0180617978088287,1.192310618506269,,
2024-09-25,1.209928483842366,1.0161669313768389,1.1902932670948279,,
2024-09-26,1.210906124159035,1.020270900087134,1.1864478333485315,,
2024-09-27,1.211674450691663,1.018992279284218,1.1886875175175962,,
2024-09-30,1.2130462369962074,1.0233092936552188,1.1849973422024527,,
2024-10-01,1.2329014442609492,1.0137678482102122,1.2154424857461203,,
2024-10-02,1.2373501212621978,1.0139081444572702,1.2196599594234048,,
2024-10-03,1.2290986865236961,1.0122033456232724,1.21357724660634,,
2024-10-04,1.2515012660396312,1.0212830620722442,1.2248108288284036,,
2024-10-07,1.2480483567888208,1.011493020001579,1.2331726226160742,,
2024-10-08,1.2806577461229849,1.02129372736173,1.2534446961536478,,
2024-10-09,1.3052137823879597,1.0285586104046915,1.2685626658981306,,
2024-10-10,1.29405611842996,1.0264293677330245,1.2603443957919167,,
2024-10-11,1.3018301830048893,1.0326411618263445,1.2602885244167545,4.741204692399553,0.9402533249012642
2024-10-14,1.2859330531452617,1.0406004159116056,1.2351847909917937,4.17959900310257,0.9060697624530905
2024-10-15,1.2775073922224869,1.032682002081205,1.2364907387444466,4.332104372423655,0.9005415986931696
2024-10-16,1.2824129621323639,1.03751407189567,1.2354530859419155,4.592833633443459,0.890902823703344
2024-10-17,1.2848235883011832,1.0373364904902467,1.2379868996443784,4.766208668390601,0.8864177894673684
2024-10-18,1.2928261945110475,1.0414563270702648,1.2407810502698007,5.027990862997287,0.918139374149889
2024-10-21,1.2760090532658148,1.0395579922514502,1.2269025724430582,4.813864182298685,0.9223820706788899
2024-10-22,1.2795295486091962,1.0390643540966285,1.230870182987762,5.2098331376773945,0.9346696402193453
2024-10-23,1.2575732498414773,1.0295139775555484,1.2210621885965645,4.785222059602326,0.9598088358868174
2024-10-24,1.2595185975061545,1.0317230798338537,1.2203309360114445,4.554848702873185,0.955277443685118
2024-10-25,1.268584725608122,1.0314141332774458,1.22948041244797,4.691072829442408,0.9540811379492478
2024-10-28,1.2651675852247217,1.0341488695790302,1.2229087080755092,4.832195629140577,0.9433063929722828
2024-10-29,1.267881737225212,1.035818117448075,1.223558272240623,4.377401084713788,0.8695067153690142
2024-10-30,1.262235936765922,1.0323996753936766,1.2221478699576434,4.854447392938995,0.8356850801906677
2024-10-31,1.248379017785475,1.0131818642561836,1.231480957744268,5.121570839593073,0.8007133519754958
2024-11-01,1.2583576688717044,1.017328320705081,1.2362846902237914,5.682422587689452,0.8475907290217687
2024-11-04,1.2608493590542076,1.0144675085424195,1.2422092091696217,5.351839456246356,0.8217216504511433
2024-11-05,1.277926395849496,1.026910606404948,1.2437972857882902,5.221083309665251,0.8869428618177381
2024-11-06,1.3312120962244425,1.0528872629476824,1.264196898246698,5.24547765108691,0.9413122694291847
2024-11-07,1.346030143916737,1.0607115100757931,1.2688744457949184,5.611536961205775,0.9522566163287824
2024-11-08,1.3503589249250758,1.0646964264083314,1.268188147271836,6.045710076452043,0.9441600148173148
2024-11-11,1.3589986477555407,1.0657281847790012,1.2750731790179235,5.880453442208177,0.952236591872234
2024-11-12,1.3535518590761202,1.0626453958595605,1.2736511115439038,5.851952179688776,0.9622528252983124
2024-11-13,1.3490050824309157,1.062892171582136,1.2690769559768522,5.4363767062297885,0.9637139697536753
2024-11-14,1.3448779827873083,1.0564619558285322,1.2728719647058047,5.128393948162143,0.9623646306070497
2024-11-15,1.3127299425130003,1.042512971116401,1.259251512477039,4.224453893871671,1.0139453260982483
2024-11-18,1.3089677415742775,1.0465973434411366,1.25070906363247,4.281315749619631,1.0026278264392583
2024-11-19,1.3084780161376242,1.050745620793117,1.2452838431049909,3.9940703442427132,0.9902298158810091
2024-11-20,1.309079587309271,1.050768685565501,1.2458290257785747,4.058651752379995,1.001335117110855
2024-11-21,1.3239504274097333,1.056380275318811,1.2533280521905998,4.055258695682157,1.0116813832528433
2024-11-22,1.3612136879076822,1.0600437589023726,1.2842571194761194,4.475577814640512,1.0281870433480067
2024-11-25,1.367083898040104,1.06324560019957,1.2859163824210464,4.552009160158539,1.0280314742492525
2024-11-26,1.3754400381889424,1.0693294975287302,1.286418374838272,4.962383867798887,1.009959861629064
2024-11-27,1.376952774118295,1.0652647215895539,1.292723185429133,4.623784586590454,1.01294860721345
2024-11-29,1.3739081381237062,1.0712384976370306,1.282615478565978,4.343000642037085,1.0021519388316726
2024-12-02,1.3818622977265558,1.0738613784635194,1.2869006765736861,4.6824344289919395,1.0728682208425375
2024-12-03,1.4041487617548523,1.0743461722319383,1.307074643912569,4.959948393016362,1.0690133361948384
2024-12-04,1.3920670238392516,1.0808474899154479,1.2879185073333803,4.807140110771296,1.0428071174390847
2024-12-05,1.3962602189005549,1.078826547622381,1.2942061040618196,5.13238769450053,1.0772164566052176
2024-12-06,1.3844353605708692,1.0815187094756928,1.2800159053585378,4.861481704431647,1.1151770886335781
2024-12-09,1.3726604206767028,1.0748736271583006,1.276993768404683,4.661130020819118,1.1321338823498603
2024-12-10,1.3897712964300721,1.0716878271501673,1.2966969736098364,4.7746715802422335,1.137222982526848
2024-12-11,1.403679643672012,1.080439000657172,1.299085315379864,4.483295976107048,1.0721807936065004
2024-12-12,1.4356190576132406,1.0745894795676894,1.3356780606308714,4.375443344338462,0.9632833908469686
2024-12-13,1.4308795510084762,1.074561038795727,1.331303846929875,4.155238729068558,0.9653865380314337
2024-12-16,1.4259684692883867,1.0786436769270504,1.3216764350890695,3.873979081773978,0.9595186943617627
2024-12-17,1.426925354182985,1.0744758031895107,1.32767028672828,3.818411318678617,0.9606896436989583
2024-12-18,1.3900124767823945,1.0427864534175268,1.3324817967310179,2.8088757365545503,0.9747470041148827
2024-12-19,1.3954446622230121,1.0418843260044293,1.3388418980086432,3.0383817360646046,0.9694692253011464
2024-12-20,1.4250534837525182,1.0532086956966593,1.3526976725674875,3.4747014351239502,0.9991887863150647
2024-12-23,1.428545288757918,1.0608837154816384,1.346154706448529,3.583835805330586,0.9902142400426908
2024-12-24,1.4473496490890745,1.0725987989496681,1.3490092730529002,3.9270938379339824,0.9881745936952081
2024-12-26,1.45019237165967,1.0721636898225129,1.3522060839021581,3.9526235226279387,0.9926226874064491
2024-12-27,1.4437676650369766,1.060310131010508,1.361165114099459,3.833542932589521,0.9789659818510237
2024-12-30,1.421705910029137,1.0489626965458938,1.3549327656303467,3.4206560364610126,1.0038139914642896
2024-12-31,1.4266582244652468,1.0444681007694698,1.365458101571432,3.185057524505501,1.0567421334097515
2025-01-02,1.424744144367372,1.042145322112986,1.3666627548251657,3.07819433078253,1.0574669674280244
2025-01-03,1.426200088833216,1.055272212437999,1.3508448254042091,3.2556482850985744,1.0116373882775396
2025-01-06,1.421031359619502,1.0611163575279035,1.3384681536340257,2.8273697848424777,0.9825277919304892
2025-01-07,1.3983482623114003,1.049333813936134,1.3319651985485639,2.4996013952602167,1.0148558434976782
2025-01-08,1.4038954058343263,1.0509711526463916,1.3351706599247657,2.1028092628112827,0.9798375776002572
2025-01-10,1.393641697110818,1.034773959594507,1.3459960745659043,1.546204860973384,0.9354623729813955
2025-01-13,1.4079518687259285,1.0364041881117743,1.3576964705269625,1.9663681902527246,0.9339346175569592
2025-01-14,1.4099284598455233,1.0375921973088955,1.3580462091994356,1.8664550164857747,0.9349780788866565
2025-01-15,1.4216259478866071,1.0565934076891876,1.344443637402928,2.3444468029613135,0.9285687852954658
2025-01-16,1.3943044620426204,1.0543611539288276,1.3214458699399407,2.0129119378077833,0.9376785553777315
